lambda	n	k
0.094	1.20	0.930
0.096	1.19	0.942
0.098	1.17	0.957
0.100	1.19	0.981
0.102	1.22	1.01
0.104	1.22	1.02
0.106	1.23	1.04
0.108	1.24	1.05
0.110	1.24	1.07
0.112	1.25	1.09
0.114	1.27	1.11
0.116	1.28	1.13
0.118	1.30	1.15
0.120	1.32	1.17
0.122	1.35	1.18
0.124	1.37	1.18
0.126	1.40	1.17
0.128	1.42	1.17
0.130	1.43	1.16
0.132	1.43	1.15
0.134	1.43	1.15
0.136	1.43	1.14
0.138	1.43	1.14
0.140	1.45	1.15
0.142	1.46	1.15
0.144	1.46	1.15
0.146	1.47	1.15
0.148	1.47	1.15
0.150	1.47	1.15
0.155	1.46	1.16
0.160	1.46	1.22
0.165	1.48	1.21
0.170	1.49	1.22
0.175	1.46	1.23
0.180	1.42	1.23
0.185	1.38	1.24
0.190	1.34	1.26
0.195	1.30	1.29
0.200	1.24	1.34
0.2000	1.39	1.35
0.2033	1.38	1.37
0.205	1.19	1.40
0.2066	1.38	1.40
0.2101	1.37	1.43
0.2138	1.36	1.47
0.2214	1.36	1.54
0.2296	1.36	1.61
0.2384	1.36	1.67
0.2480	1.36	1.76
0.2583	1.38	1.85
0.2695	1.39	1.95
0.2818	1.43	2.04
0.2952	1.45	2.14
0.3100	1.49	2.25
0.3179	1.51	2.32
0.3263	1.53	2.37
0.3351	1.56	2.42
0.3444	1.58	2.48
0.3542	1.60	2.55
0.3647	1.62	2.62
0.3757	1.65	2.69
0.3874	1.68	2.76
0.3999	1.72	2.84
0.4133	1.75	2.92
0.4275	1.79	3.01
0.4428	1.83	3.10
0.4592	1.87	3.20
0.4769	1.91	3.30
0.4959	1.96	3.42
0.5166	2.03	3.54
0.5390	2.10	3.67
0.5636	2.17	3.77
0.5904	2.23	3.92
0.6199	2.30	4.07
0.6525	2.38	4.26
0.6888	2.51	4.43
0.7293	2.63	4.63
0.7749	2.76	4.84
0.8265	2.92	5.07
0.8856	3.10	5.32
0.9537	3.29	5.61
1.033	3.55	5.92
1.078	3.70	6.08
1.127	3.86	6.24
1.181	4.03	6.44
1.240	4.25	6.62
1.305	4.50	6.77
1.378	4.77	6.91
1.409	4.91	6.95
1.459	5.05	6.98
1.512	5.17	7.01
1.550	5.31	7.04
1.610	5.44	7.04
1.653	5.57	7.02
1.698	5.67	6.95
1.771	5.71	6.83
1.823	5.66	6.73
1.907	5.52	6.66
1.968	5.34	6.70
2.066	5.13	6.75
2.175	4.86	6.89
2.254	4.58	7.14
2.384	4.30	7.40
2.455	3.91	7.71
2.638	3.36	8.40
2.755	3.03	9.31
2.883	2.92	10.3
3.100	2.81	11.4
3.263	3.03	12.5
3.542	3.28	13.7
3.875	3.57	14.9
4.133	3.92	16.2
4.428	4.24	17.7
4.959	4.70	19.4
5.636	5.24	21.5
6.199	5.90	24.0
7.293	6.78	27.2
8.266	8.18	31.2
9.537	9.91	36.7
12.40	13.2	44.7
